Transaction_ID,Date,Branch,City,Customer_ID,Customer_Type,Gender,Age,Product,Category,Quantity,Unit_Price,Discount,Payment_Method,Customer_Rating,Cost,Sales,Profit
TXN-10020,2023-04-26 10:00:00,Branch A,New York,CUST-1234,Normal,Female,19,Milk,Groceries,3,3,0.0,Credit Card,4.3,2,9.0,3.0
TXN-10021,2023-02-04 09:00:00,Branch A,New York,CUST-1135,Member,Female,22,Smartphone,Electronics,5,600,0.12,Credit Card,3.9,400,2640.0,640.0
TXN-10022,2023-10-20 18:00:00,Branch C,Chicago,CUST-1362,Normal,Female,33,Tool Set,Home & Garden,4,85,0.0,Cash,4.3,40,340.0,180.0
TXN-10023,2023-08-05 15:00:00,Branch C,Chicago,CUST-1882,Normal,Female,64,Laptop,Electronics,1,800,0.0,Credit Card,3.7,600,800.0,200.0
TXN-10024,2023-02-25 12:00:00,Branch B,Los Angeles,CUST-1945,Normal,Male,30,Sneakers,Clothing,3,80,0.0,Cash,3.6,30,240.0,150.0
TXN-10025,2023-02-08 16:00:00,Branch A,New York,CUST-1497,Member,Male,21,Organic Apples,Groceries,15,5,0.13,Credit Card,3.8,3,65.25,20.25
TXN-10026,2023-09-04 12:00:00,Branch B,Los Angeles,CUST-1292,Normal,Female,21,Jeans,Clothing,7,50,0.0,Credit Card,3.6,20,350.0,210.0
TXN-10027,2023-08-05 20:00:00,Branch C,Chicago,CUST-1555,Member,Female,27,Jacket,Clothing,4,100,0.15,Cash,4.7,40,340.0,180.0
TXN-10028,2023-02-01 20:00:00,Branch A,New York,CUST-1161,Member,Female,21,Desk Lamp,Home & Garden,8,35,0.1,E-Wallet,5.0,15,252.0,132.0
TXN-10029,2023-01-30 17:00:00,Branch B,Los Angeles,CUST-1911,Normal,Male,29,Desk Lamp,Home & Garden,2,35,0.0,Cash,3.5,15,70.0,40.0
TXN-10030,2023-10-19 12:00:00,Branch C,Chicago,CUST-1244,Normal,Male,57,Headphones,Electronics,6,100,0.03,E-Wallet,4.4,50,582.0,282.0
TXN-10031,2023-05-16 15:00:00,Branch A,New York,CUST-1074,Member,Male,60,Tablet,Electronics,8,300,0.08,E-Wallet,5.0,200,2208.0,608.0
TXN-10032,2023-01-05 16:00:00,Branch C,Chicago,CUST-1900,Member,Male,22,Jacket,Clothing,3,100,0.14,Credit Card,5.0,40,258.0,138.0
TXN-10033,2023-05-06 14:00:00,Branch A,New York,CUST-1669,Member,Female,28,Headphones,Electronics,5,100,0.11,Credit Card,5.0,50,445.0,195.0
TXN-10034,2023-09-28 09:00:00,Branch C,Chicago,CUST-1566,Member,Female,60,Smartphone,Electronics,5,600,0.06,Credit Card,3.7,400,2820.0,820.0
TXN-10035,2023-03-21 13:00:00,Branch A,New York,CUST-1270,Normal,Female,56,Office Chair,Home & Garden,6,120,0.0,Credit Card,4.3,60,720.0,360.0
TXN-10036,2023-09-16 16:00:00,Branch A,New York,CUST-1341,Member,Female,21,Laptop,Electronics,7,800,0.13,Credit Card,3.6,600,4872.0,672.0
TXN-10037,2023-03-08 19:00:00,Branch A,New York,CUST-1967,Member,Female,28,Tool Set,Home & Garden,7,85,0.11,Credit Card,3.7,40,529.55,249.55
TXN-10038,2023-12-20 11:00:00,Branch B,Los Angeles,CUST-1881,Normal,Male,41,Jeans,Clothing,7,50,0.0,Credit Card,3.6,20,350.0,210.0
TXN-10039,2023-01-21 14:00:00,Branch C,Chicago,CUST-1416,Member,Male,61,T-Shirt,Clothing,6,25,0.13,Credit Card,5.0,10,130.5,70.5
TXN-10040,2023-11-14 20:00:00,Branch A,New York,CUST-1340,Normal,Male,33,Milk,Groceries,9,3,0.0,Credit Card,4.5,2,27.0,9.0
TXN-10041,2023-07-30 19:00:00,Branch A,New York,CUST-1481,Normal,Male,35,Smartphone,Electronics,2,600,0.0,Credit Card,3.1,400,1200.0,400.0
TXN-10042,2023-04-24 12:00:00,Branch B,Los Angeles,CUST-1285,Normal,Female,40,Tablet,Electronics,4,300,0.0,Credit Card,4.3,200,1200.0,400.0
TXN-10043,2023-02-05 13:00:00,Branch B,Los Angeles,CUST-1985,Member,Female,59,Coffee Beans,Groceries,3,15,0.06,Credit Card,5.0,8,42.3,18.3
TXN-10044,2023-05-16 09:00:00,Branch C,Chicago,CUST-1118,Member,Male,56,Plant Pot,Home & Garden,6,15,0.09,Credit Card,5.0,5,81.9,51.9
TXN-10045,2023-07-17 18:00:00,Branch A,New York,CUST-1551,Normal,Male,34,Desk Lamp,Home & Garden,7,35,0.0,Credit Card,4.9,15,245.0,140.0
TXN-10046,2023-12-18 20:00:00,Branch B,Los Angeles,CUST-1921,Normal,Male,41,Sneakers,Clothing,2,80,0.05,Credit Card,2.2,30,152.0,92.0
TXN-10047,2023-06-03 17:00:00,Branch A,New York,CUST-1130,Member,Female,60,Tool Set,Home & Garden,6,85,0.09,Credit Card,4.1,40,464.1,224.1
TXN-10048,2023-04-09 15:00:00,Branch A,New York,CUST-1293,Member,Female,61,Milk,Groceries,9,3,0.1,E-Wallet,3.5,2,24.3,6.3
TXN-10049,2023-04-18 15:00:00,Branch C,Chicago,CUST-1982,Normal,Female,47,Tool Set,Home & Garden,4,85,0.0,Credit Card,4.6,40,340.0,180.0
TXN-10050,2023-03-28 19:00:00,Branch A,New York,CUST-1688,Member,Male,36,Plant Pot,Home & Garden,2,15,0.13,Credit Card,5.0,5,26.1,16.1
TXN-10051,2023-06-08 12:00:00,Branch A,New York,CUST-1786,Member,Male,27,Organic Apples,Groceries,6,5,0.15,Cash,4.7,3,25.5,7.5
TXN-10052,2023-02-07 16:00:00,Branch A,New York,CUST-1704,Normal,Female,58,Milk,Groceries,10,3,0.0,Credit Card,3.3,2,30.0,10.0
TXN-10053,2023-01-03 10:00:00,Branch A,New York,CUST-1868,Normal,Female,32,Smartphone,Electronics,8,600,0.0,Credit Card,3.5,400,4800.0,1600.0
TXN-10054,2023-03-04 16:00:00,Branch B,Los Angeles,CUST-1162,Normal,Male,47,Bread,Groceries,12,4,0.05,Credit Card,2.9,2,45.6,21.6
TXN-10055,2023-09-01 16:00:00,Branch A,New York,CUST-1079,Member,Female,33,Tablet,Electronics,8,300,0.11,E-Wallet,4.0,200,2136.0,536.0
TXN-10056,2023-05-27 12:00:00,Branch A,New York,CUST-1156,Normal,Female,39,Bread,Groceries,5,4,0.0,Credit Card,3.8,2,20.0,10.0
TXN-10057,2023-12-28 12:00:00,Branch B,Los Angeles,CUST-1430,Normal,Male,44,Sneakers,Clothing,6,80,0.0,Cash,3.8,30,480.0,300.0
TXN-10058,2023-07-19 18:00:00,Branch C,Chicago,CUST-1399,Member,Male,54,Tool Set,Home & Garden,1,85,0.14,Cash,4.1,40,73.1,33.1
TXN-10059,2023-08-03 17:00:00,Branch B,Los Angeles,CUST-1695,Member,Male,49,Office Chair,Home & Garden,5,120,0.09,E-Wallet,3.6,60,546.0,246.0
TXN-10060,2023-07-27 20:00:00,Branch A,New York,CUST-1678,Member,Male,47,Office Chair,Home & Garden,1,120,0.14,Credit Card,4.7,60,103.2,43.2
TXN-10061,2023-01-14 10:00:00,Branch C,Chicago,CUST-1465,Normal,Female,26,Office Chair,Home & Garden,1,120,0.0,E-Wallet,3.7,60,120.0,60.0
TXN-10062,2023-06-17 14:00:00,Branch A,New York,CUST-1767,Member,Female,35,Tool Set,Home & Garden,5,85,0.13,Credit Card,4.4,40,369.75,169.75
TXN-10063,2023-10-04 09:00:00,Branch A,New York,CUST-1020,Normal,Female,32,Desk Lamp,Home & Garden,1,35,0.05,Credit Card,3.4,15,33.25,18.25
TXN-10064,2023-11-15 11:00:00,Branch B,Los Angeles,CUST-1377,Member,Male,26,Coffee Beans,Groceries,12,15,0.14,E-Wallet,4.4,8,154.8,58.8
TXN-10065,2023-03-27 18:00:00,Branch A,New York,CUST-1589,Normal,Male,28,Plant Pot,Home & Garden,2,15,0.0,Credit Card,4.9,5,30.0,20.0
TXN-10066,2023-12-13 15:00:00,Branch B,Los Angeles,CUST-1713,Normal,Female,63,Jeans,Clothing,2,50,0.0,Credit Card,4.7,20,100.0,60.0
TXN-10067,2023-06-04 19:00:00,Branch C,Chicago,CUST-1663,Normal,Male,54,Tablet,Electronics,7,300,0.0,E-Wallet,3.1,200,2100.0,700.0
TXN-10068,2023-06-24 09:00:00,Branch B,Los Angeles,CUST-1751,Normal,Female,49,Organic Apples,Groceries,8,5,0.0,Credit Card,2.9,3,40.0,16.0
TXN-10069,2023-09-25 19:00:00,Branch C,Chicago,CUST-1251,Normal,Female,57,Tool Set,Home & Garden,7,85,0.04,Credit Card,3.6,40,571.2,291.2
TXN-10070,2023-02-14 13:00:00,Branch A,New York,CUST-1332,Member,Female,33,Sneakers,Clothing,7,80,0.08,Credit Card,4.5,30,515.2,305.2
TXN-10071,2023-04-04 16:00:00,Branch B,Los Angeles,CUST-1529,Member,Male,40,Jacket,Clothing,6,100,0.08,Credit Card,3.6,40,552.0,312.0
TXN-10072,2023-04-08 10:00:00,Branch C,Chicago,CUST-1502,Member,Male,64,Tool Set,Home & Garden,4,85,0.12,Cash,4.8,40,299.2,139.2
TXN-10073,2023-08-18 09:00:00,Branch B,Los Angeles,CUST-1543,Normal,Male,36,Jeans,Clothing,7,50,0.0,Credit Card,2.9,20,350.0,210.0
TXN-10074,2023-06-26 15:00:00,Branch A,New York,CUST-1738,Member,Female,40,Sneakers,Clothing,5,80,0.08,Credit Card,4.0,30,368.0,218.0
TXN-10075,2023-04-09 14:00:00,Branch B,Los Angeles,CUST-1537,Normal,Male,65,Office Chair,Home & Garden,4,120,0.0,Credit Card,4.0,60,480.0,240.0
TXN-10076,2023-11-02 13:00:00,Branch A,New York,CUST-1725,Normal,Male,30,Tablet,Electronics,4,300,0.0,Credit Card,3.6,200,1200.0,400.0
TXN-10077,2023-10-01 11:00:00,Branch A,New York,CUST-1889,Normal,Female,20,Desk Lamp,Home & Garden,5,35,0.0,Credit Card,3.3,15,175.0,100.0
TXN-10078,2023-09-09 10:00:00,Branch A,New York,CUST-1988,Member,Male,54,Tablet,Electronics,8,300,0.1,Credit Card,4.2,200,2160.0,560.0
TXN-10079,2023-01-27 13:00:00,Branch C,Chicago,CUST-1054,Normal,Female,25,Headphones,Electronics,8,100,0.0,E-Wallet,4.3,50,800.0,400.0
TXN-10080,2023-03-19 11:00:00,Branch C,Chicago,CUST-1231,Normal,Female,23,T-Shirt,Clothing,7,25,0.0,Credit Card,4.6,10,175.0,105.0
TXN-10081,2023-09-25 15:00:00,Branch A,New York,CUST-1624,Member,Female,46,Tablet,Electronics,7,300,0.08,Credit Card,4.7,200,1932.0,532.0
TXN-10082,2023-02-20 12:00:00,Branch A,New York,CUST-1160,Member,Male,34,Laptop,Electronics,3,800,0.07,Credit Card,4.6,600,2232.0,432.0
TXN-10083,2023-01-02 15:00:00,Branch B,Los Angeles,CUST-1880,Member,Female,62,Sneakers,Clothing,5,80,0.05,Credit Card,4.1,30,380.0,230.0
TXN-10084,2023-08-21 10:00:00,Branch A,New York,CUST-1152,Normal,Male,34,Smartphone,Electronics,7,600,0.0,Credit Card,3.4,400,4200.0,1400.0
TXN-10085,2023-05-17 11:00:00,Branch A,New York,CUST-1295,Member,Male,21,Milk,Groceries,12,3,0.12,Credit Card,4.6,2,31.68,7.68
TXN-10086,2023-08-13 10:00:00,Branch C,Chicago,CUST-1612,Normal,Female,62,Coffee Beans,Groceries,11,15,0.0,Cash,3.9,8,165.0,77.0
TXN-10087,2023-01-21 15:00:00,Branch A,New York,CUST-1856,Normal,Female,56,Tablet,Electronics,1,300,0.0,Credit Card,4.9,200,300.0,100.0
TXN-10088,2023-10-22 18:00:00,Branch C,Chicago,CUST-1284,Normal,Male,61,Organic Apples,Groceries,10,5,0.0,Credit Card,3.9,3,50.0,20.0
TXN-10089,2023-04-03 18:00:00,Branch B,Los Angeles,CUST-1107,Normal,Female,58,Sneakers,Clothing,2,80,0.0,E-Wallet,3.8,30,160.0,100.0
TXN-10090,2023-03-24 14:00:00,Branch A,New York,CUST-1778,Normal,Female,62,Tool Set,Home & Garden,5,85,0.0,Cash,3.8,40,425.0,225.0
TXN-10091,2023-10-09 09:00:00,Branch A,New York,CUST-1413,Member,Female,23,Tablet,Electronics,5,300,0.08,Credit Card,5.0,200,1380.0,380.0
TXN-10092,2023-09-21 09:00:00,Branch A,New York,CUST-1510,Member,Female,44,Desk Lamp,Home & Garden,4,35,0.1,Cash,4.7,15,126.0,66.0
TXN-10093,2023-11-17 16:00:00,Branch C,Chicago,CUST-1029,Member,Male,31,Milk,Groceries,10,3,0.14,Cash,4.5,2,25.8,5.8
TXN-10094,2023-11-19 18:00:00,Branch B,Los Angeles,CUST-1861,Normal,Male,63,Office Chair,Home & Garden,5,120,0.0,E-Wallet,4.1,60,600.0,300.0
TXN-10095,2023-02-28 16:00:00,Branch A,New York,CUST-1425,Member,Male,59,Milk,Groceries,14,3,0.08,E-Wallet,4.9,2,38.64,10.64
TXN-10096,2023-09-05 16:00:00,Branch C,Chicago,CUST-1884,Normal,Male,47,Sneakers,Clothing,4,80,0.04,Credit Card,4.8,30,307.2,187.2
TXN-10097,2023-02-05 13:00:00,Branch C,Chicago,CUST-1675,Member,Female,39,Organic Apples,Groceries,14,5,0.08,E-Wallet,4.7,3,64.4,22.4
TXN-10098,2023-09-08 11:00:00,Branch C,Chicago,CUST-1466,Normal,Female,52,Plant Pot,Home & Garden,6,15,0.0,Credit Card,4.1,5,90.0,60.0
TXN-10099,2023-06-14 12:00:00,Branch C,Chicago,CUST-1722,Member,Male,54,Office Chair,Home & Garden,7,120,0.05,Credit Card,5.0,60,798.0,378.0
TXN-10100,2023-07-15 15:00:00,Branch C,Chicago,CUST-1450,Member,Male,49,Smartphone,Electronics,6,600,0.14,Credit Card,5.0,400,3096.0,696.0
TXN-10101,2023-02-21 17:00:00,Branch A,New York,CUST-1800,Normal,Female,18,Smartphone,Electronics,7,600,0.05,E-Wallet,3.1,400,3990.0,1190.0
TXN-10102,2023-05-16 14:00:00,Branch C,Chicago,CUST-1499,Normal,Female,59,Tablet,Electronics,7,300,0.04,Credit Card,4.8,200,2016.0,616.0
TXN-10103,2023-10-05 09:00:00,Branch A,New York,CUST-1778,Member,Male,33,Bread,Groceries,14,4,0.06,Credit Card,5.0,2,52.64,24.64
TXN-10104,2023-11-21 20:00:00,Branch C,Chicago,CUST-1300,Normal,Male,46,Jacket,Clothing,1,100,0.0,Cash,4.6,40,100.0,60.0
TXN-10105,2023-07-03 14:00:00,Branch B,Los Angeles,CUST-1080,Member,Female,27,Jeans,Clothing,7,50,0.11,Credit Card,5.0,20,311.5,171.5
TXN-10106,2023-11-09 15:00:00,Branch C,Chicago,CUST-1682,Member,Male,49,Jeans,Clothing,8,50,0.11,Cash,4.4,20,356.0,196.0
TXN-10107,2023-01-05 16:00:00,Branch A,New York,CUST-1985,Normal,Female,61,Milk,Groceries,10,3,0.05,Cash,3.6,2,28.5,8.5
TXN-10108,2023-08-06 20:00:00,Branch A,New York,CUST-1390,Normal,Female,47,Tablet,Electronics,4,300,0.05,Credit Card,3.2,200,1140.0,340.0
TXN-10109,2023-10-20 14:00:00,Branch A,New York,CUST-1281,Member,Female,62,Plant Pot,Home & Garden,1,15,0.15,Credit Card,4.8,5,12.75,7.75
TXN-10110,2023-01-05 18:00:00,Branch A,New York,CUST-1224,Normal,Male,56,Tool Set,Home & Garden,5,85,0.03,E-Wallet,4.6,40,412.25,212.25
TXN-10111,2023-11-22 12:00:00,Branch C,Chicago,CUST-1593,Member,Female,61,T-Shirt,Clothing,1,25,0.08,Cash,4.4,10,23.0,13.0
TXN-10112,2023-07-06 20:00:00,Branch C,Chicago,CUST-1897,Normal,Male,23,Bread,Groceries,5,4,0.0,Credit Card,4.6,2,20.0,10.0
TXN-10113,2023-07-07 17:00:00,Branch C,Chicago,CUST-1479,Member,Female,28,Coffee Beans,Groceries,14,15,0.14,Credit Card,5.0,8,180.6,68.6
TXN-10114,2023-02-08 11:00:00,Branch A,New York,CUST-1270,Normal,Male,61,Headphones,Electronics,6,100,0.0,Credit Card,3.8,50,600.0,300.0
TXN-10115,2023-10-02 10:00:00,Branch B,Los Angeles,CUST-1025,Normal,Female,41,Jacket,Clothing,7,100,0.05,Credit Card,3.2,40,665.0,385.0
TXN-10116,2023-11-14 17:00:00,Branch A,New York,CUST-1717,Normal,Female,57,Smartphone,Electronics,2,600,0.0,Credit Card,3.9,400,1200.0,400.0
TXN-10117,2023-06-04 19:00:00,Branch C,Chicago,CUST-1099,Member,Female,25,T-Shirt,Clothing,1,25,0.08,E-Wallet,4.5,10,23.0,13.0
TXN-10118,2023-05-01 17:00:00,Branch B,Los Angeles,CUST-1760,Normal,Male,42,Headphones,Electronics,6,100,0.0,E-Wallet,2.8,50,600.0,300.0
TXN-10119,2023-03-21 15:00:00,Branch B,Los Angeles,CUST-1241,Normal,Male,49,Coffee Beans,Groceries,3,15,0.0,Credit Card,3.4,8,45.0,21.0
TXN-10120,2023-07-05 10:00:00,Branch B,Los Angeles,CUST-1868,Normal,Female,52,Plant Pot,Home & Garden,1,15,0.0,Cash,3.4,5,15.0,10.0
TXN-10121,2023-08-21 10:00:00,Branch A,New York,CUST-1578,Normal,Male,59,Desk Lamp,Home & Garden,1,35,0.03,Credit Card,3.3,15,33.95,18.95
TXN-10122,2023-04-16 10:00:00,Branch B,Los Angeles,CUST-1879,Member,Male,55,Jeans,Clothing,4,50,0.08,Credit Card,2.5,20,184.0,104.0
TXN-10123,2023-03-16 11:00:00,Branch A,New York,CUST-1807,Normal,Female,29,Laptop,Electronics,1,800,0.0,E-Wallet,3.7,600,800.0,200.0
TXN-10124,2023-05-02 18:00:00,Branch B,Los Angeles,CUST-1487,Normal,Female,19,Jeans,Clothing,5,50,0.0,E-Wallet,3.5,20,250.0,150.0
TXN-10125,2023-08-18 14:00:00,Branch B,Los Angeles,CUST-1658,Member,Male,46,Office Chair,Home & Garden,1,120,0.12,E-Wallet,3.1,60,105.6,45.6
TXN-10126,2023-01-16 09:00:00,Branch C,Chicago,CUST-1329,Normal,Female,43,Desk Lamp,Home & Garden,8,35,0.03,Credit Card,4.8,15,271.6,151.6
TXN-10127,2023-11-08 11:00:00,Branch A,New York,CUST-1301,Normal,Male,26,Plant Pot,Home & Garden,6,15,0.0,Cash,4.2,5,90.0,60.0
TXN-10128,2023-08-21 17:00:00,Branch A,New York,CUST-1423,Member,Female,24,Desk Lamp,Home & Garden,4,35,0.09,E-Wallet,5.0,15,127.4,67.4
TXN-10129,2023-06-23 16:00:00,Branch A,New York,CUST-1383,Normal,Female,44,Laptop,Electronics,6,800,0.0,E-Wallet,4.3,600,4800.0,1200.0
TXN-10130,2023-03-20 19:00:00,Branch C,Chicago,CUST-1381,Normal,Female,22,Laptop,Electronics,2,800,0.0,Credit Card,4.5,600,1600.0,400.0
TXN-10131,2023-03-08 17:00:00,Branch A,New York,CUST-1963,Normal,Male,55,Plant Pot,Home & Garden,2,15,0.0,E-Wallet,4.7,5,30.0,20.0
TXN-10132,2023-08-05 20:00:00,Branch C,Chicago,CUST-1493,Normal,Male,36,Bread,Groceries,12,4,0.0,Credit Card,3.3,2,48.0,24.0
TXN-10133,2023-04-25 10:00:00,Branch C,Chicago,CUST-1574,Normal,Female,53,Organic Apples,Groceries,12,5,0.0,Credit Card,3.9,3,60.0,24.0
TXN-10134,2023-11-15 18:00:00,Branch B,Los Angeles,CUST-1347,Member,Male,56,Plant Pot,Home & Garden,1,15,0.07,Credit Card,4.9,5,13.95,8.95
TXN-10135,2023-06-29 09:00:00,Branch A,New York,CUST-1543,Normal,Male,27,Coffee Beans,Groceries,5,15,0.05,Credit Card,3.2,8,71.25,31.25
TXN-10136,2023-04-21 15:00:00,Branch A,New York,CUST-1795,Normal,Female,47,Jacket,Clothing,3,100,0.0,Credit Card,4.4,40,300.0,180.0
TXN-10137,2023-10-18 18:00:00,Branch B,Los Angeles,CUST-1434,Normal,Male,21,Jeans,Clothing,3,50,0.02,Credit Card,3.2,20,147.0,87.0
TXN-10138,2023-09-06 18:00:00,Branch C,Chicago,CUST-1694,Normal,Female,44,Milk,Groceries,8,3,0.0,Cash,3.6,2,24.0,8.0
TXN-10139,2023-10-31 16:00:00,Branch A,New York,CUST-1968,Normal,Female,20,Milk,Groceries,12,3,0.0,Credit Card,3.4,2,36.0,12.0
TXN-10140,2023-04-19 11:00:00,Branch A,New York,CUST-1179,Member,Female,36,Tablet,Electronics,2,300,0.05,Credit Card,5.0,200,570.0,170.0
TXN-10141,2023-03-08 15:00:00,Branch A,New York,CUST-1446,Normal,Male,50,Plant Pot,Home & Garden,2,15,0.0,Credit Card,4.5,5,30.0,20.0
TXN-10142,2023-01-10 16:00:00,Branch B,Los Angeles,CUST-1332,Normal,Male,38,Sneakers,Clothing,7,80,0.03,E-Wallet,3.2,30,543.2,333.2
TXN-10143,2023-03-29 18:00:00,Branch C,Chicago,CUST-1536,Member,Female,62,Organic Apples,Groceries,4,5,0.07,E-Wallet,4.7,3,18.6,6.6
TXN-10144,2023-02-10 15:00:00,Branch B,Los Angeles,CUST-1522,Member,Female,65,Jacket,Clothing,4,100,0.08,E-Wallet,2.7,40,368.0,208.0
TXN-10145,2023-04-10 14:00:00,Branch B,Los Angeles,CUST-1671,Member,Female,64,Milk,Groceries,4,3,0.06,Credit Card,4.0,2,11.28,3.28
TXN-10146,2023-02-08 11:00:00,Branch A,New York,CUST-1154,Member,Female,47,Headphones,Electronics,6,100,0.14,Credit Card,4.8,50,516.0,216.0
TXN-10147,2023-08-14 10:00:00,Branch B,Los Angeles,CUST-1472,Member,Female,46,Jacket,Clothing,5,100,0.11,E-Wallet,4.2,40,445.0,245.0
TXN-10148,2023-08-20 09:00:00,Branch B,Los Angeles,CUST-1608,Normal,Male,41,Jacket,Clothing,2,100,0.0,Cash,5.0,40,200.0,120.0
TXN-10149,2023-09-17 15:00:00,Branch A,New York,CUST-1192,Member,Female,55,Laptop,Electronics,8,800,0.14,Credit Card,4.6,600,5504.0,704.0
TXN-10150,2023-06-14 18:00:00,Branch A,New York,CUST-1857,Normal,Female,50,Smartphone,Electronics,1,600,0.0,Credit Card,4.6,400,600.0,200.0
TXN-10151,2023-06-25 20:00:00,Branch B,Los Angeles,CUST-1372,Member,Male,50,Milk,Groceries,6,3,0.12,Credit Card,3.7,2,15.84,3.84
TXN-10152,2023-07-10 13:00:00,Branch A,New York,CUST-1096,Normal,Female,44,Plant Pot,Home & Garden,1,15,0.04,Cash,3.1,5,14.4,9.4
TXN-10153,2023-10-13 19:00:00,Branch A,New York,CUST-1938,Normal,Female,36,Bread,Groceries,8,4,0.0,Cash,4.3,2,32.0,16.0
TXN-10154,2023-06-29 13:00:00,Branch A,New York,CUST-1336,Member,Female,26,T-Shirt,Clothing,5,25,0.11,Credit Card,4.8,10,111.25,61.25
TXN-10155,2023-03-07 19:00:00,Branch A,New York,CUST-1219,Normal,Male,59,Coffee Beans,Groceries,3,15,0.0,Cash,3.4,8,45.0,21.0
TXN-10156,2023-06-24 16:00:00,Branch A,New York,CUST-1103,Normal,Male,32,Office Chair,Home & Garden,3,120,0.0,Credit Card,4.7,60,360.0,180.0
TXN-10157,2023-09-17 17:00:00,Branch B,Los Angeles,CUST-1709,Member,Male,60,Jacket,Clothing,3,100,0.11,Credit Card,3.8,40,267.0,147.0
TXN-10158,2023-11-16 11:00:00,Branch A,New York,CUST-1454,Member,Female,20,Headphones,Electronics,6,100,0.12,Credit Card,4.0,50,528.0,228.0
TXN-10159,2023-11-09 13:00:00,Branch A,New York,CUST-1925,Member,Female,32,Smartphone,Electronics,5,600,0.15,Credit Card,5.0,400,2550.0,550.0
TXN-10160,2023-04-10 14:00:00,Branch B,Los Angeles,CUST-1204,Normal,Female,47,Jacket,Clothing,7,100,0.0,Credit Card,3.8,40,700.0,420.0
TXN-10161,2023-11-06 11:00:00,Branch B,Los Angeles,CUST-1291,Normal,Female,21,Sneakers,Clothing,6,80,0.0,Cash,3.7,30,480.0,300.0
TXN-10162,2023-02-12 11:00:00,Branch A,New York,CUST-1461,Member,Female,46,Milk,Groceries,4,3,0.14,Credit Card,3.9,2,10.32,2.32
TXN-10163,2023-06-28 09:00:00,Branch A,New York,CUST-1229,Normal,Female,21,Coffee Beans,Groceries,6,15,0.0,Credit Card,3.2,8,90.0,42.0
